TotalPop,UninsuredPop,MedHouseInc,GEOID
4389,172,100948,06037143100
5770,152,138151,06037143800
6365,462,34095,06037402702
5573,194,163942,06075030400
6212,202,126713,06037701304
5577,51,103590,06037701402
4659,50,67422,06037701902
6443,239,91859,06037702002
6065,144,81727,06037702102
6895,290,76992,06037920035
5533,116,146543,06037800203
4495,126,138306,06037800204
5827,80,92740,06037800327
2733,26,105625,06037800328
6953,230,94250,06037800329
882,49,134250,06037800330
5268,301,68500,06037572700
7547,495,60616,06037573100
1642,95,75040,06037573401
5165,191,137909,06037574000
133,0,,06037574700
3697,40,121429,06037574901
4772,174,46050,06037575201
4360,167,37969,06037575300
4788,341,32452,06037575401
93,0,14271,06037575500
3578,38,143750,06087121000
4271,54,83142,06087121300
7275,581,44677,06087110300
3971,82,107132,06087122203
6578,116,78262,06087121600
7760,426,55396,06087110100
4884,108,106528,06087120400
894,28,26600,06105000400
2011,25,45109,06105000200
3182,29,31712,06105000300
4121,152,42063,06037206010
5813,305,77813,06111007700
5361,169,91333,06111007901
5042,123,133607,06111007903
2622,21,100758,06111002000
3010,71,84155,06111002600
4230,177,54265,06111003201
8956,421,69703,06111003300
6687,392,79667,06111003700
6984,382,58396,06111003900
3335,45,81927,06111005909
3643,75,106250,06111005911
4072,154,59250,06111007800
5020,79,83675,06111008002
3233,65,91607,06111008101
6623,218,131289,06111005901
4364,153,78138,06111005503
10497,284,84832,06111005600
6463,172,115431,06111005906
6859,296,118750,06111006400
4129,129,110000,06111006600
4795,186,51233,06071008705
4304,177,88365,06071008708
7661,263,52357,06071009107
5540,211,40820,06071010011
6111,289,52011,06037535200
6524,431,43000,06037535300
5638,237,54157,06037535702
4246,274,49813,06037535803
5578,81,51968,06037535901
3059,169,37027,06037541603
5917,386,42188,06037541604
4891,222,58934,06037542501
5446,267,90022,06037543321
4218,197,82132,06037543502
7329,298,71875,06037550100
8316,218,86674,06037550500
7281,258,96514,06037551000
5686,365,48077,06037552200
3528,17,129360,06073008312
4225,81,94821,06073008351
3344,11,72550,06073005900
4318,125,71637,06073007903
7427,479,97340,06073016901
5686,183,119855,06073017401
7185,99,42518,06073013206
8876,538,118579,06073013419
2468,64,142847,06073015406
3069,129,220417,06037264000
2878,0,21228,06037265304
1495,76,117885,06037265410
4274,281,88656,06037269100
3546,71,89450,06037269700
2542,116,74323,06037270300
3918,242,67446,06037271702
2895,30,96719,06037273700
5059,193,96917,06037275302
3108,71,83768,06037293301
4874,236,70272,06037294200
5082,247,49979,06037294510
4190,95,150489,06037301400
1790,20,94375,06037301501
2962,92,84688,06037301701
4288,142,61005,06037302104
3612,277,122188,06037480703
4109,105,50127,06037480902
3248,104,67039,06037480903
5646,235,60275,06037481002
4000,166,53024,06037481102
2387,96,50000,06111000200
1859,0,158000,06111007606
4024,155,79358,06111003608
3339,181,46579,06111005002
5437,110,176635,06111005305
8257,246,76067,06111000302
2503,182,90156,06111001602
5965,183,129861,06111007403
